"datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count"
"2011-04-01 00:00:00",2,0,1,3,10.66,12.88,100,11.0014,0,6,6
"2011-04-01 01:00:00",2,0,1,3,10.66,12.88,100,11.0014,0,4,4
"2011-04-01 02:00:00",2,0,1,3,10.66,12.88,93,12.998,0,7,7
"2011-04-01 03:00:00",2,0,1,2,9.84,11.365,93,16.9979,0,4,4
"2011-04-01 04:00:00",2,0,1,2,9.84,11.365,93,16.9979,0,3,3
"2011-04-01 05:00:00",2,0,1,3,9.84,11.365,93,15.0013,1,11,12
"2011-04-01 06:00:00",2,0,1,3,9.84,11.365,93,15.0013,2,26,28
"2011-04-01 07:00:00",2,0,1,3,9.84,12.12,93,0,4,91,95
"2011-04-01 08:00:00",2,0,1,2,10.66,12.12,87,16.9979,8,198,206
"2011-04-01 09:00:00",2,0,1,1,13.12,14.395,70,23.9994,11,162,173
"2011-04-01 10:00:00",2,0,1,1,13.12,15.15,66,19.0012,12,63,75
"2011-04-01 11:00:00",2,0,1,1,13.12,14.395,61,23.9994,17,72,89
"2011-04-01 12:00:00",2,0,1,1,13.94,15.15,53,23.9994,15,80,95
"2011-04-01 13:00:00",2,0,1,1,14.76,16.665,50,23.9994,18,92,110
"2011-04-01 14:00:00",2,0,1,2,14.76,16.665,46,23.9994,26,61,87
"2011-04-01 15:00:00",2,0,1,1,13.94,15.15,46,27.9993,30,81,111
"2011-04-01 16:00:00",2,0,1,1,13.94,15.15,46,27.9993,42,125,167
"2011-04-01 17:00:00",2,0,1,1,13.94,15.15,46,22.0028,36,245,281
"2011-04-01 18:00:00",2,0,1,1,13.94,15.15,46,22.0028,36,205,241
"2011-04-01 19:00:00",2,0,1,1,13.94,15.15,49,22.0028,16,120,136
"2011-04-01 20:00:00",2,0,1,1,13.12,15.91,53,12.998,2,75,77
"2011-04-01 21:00:00",2,0,1,1,13.12,16.665,53,8.9981,9,84,93
"2011-04-01 22:00:00",2,0,1,1,12.3,15.15,56,11.0014,10,64,74
"2011-04-01 23:00:00",2,0,1,1,12.3,15.91,61,6.0032,12,41,53
"2011-04-02 00:00:00",2,0,0,2,12.3,16.665,61,0,3,29,32
"2011-04-02 01:00:00",2,0,0,1,10.66,13.635,65,8.9981,4,28,32
"2011-04-02 02:00:00",2,0,0,1,9.84,12.12,75,8.9981,1,20,21
"2011-04-02 03:00:00",2,0,0,1,9.84,12.12,70,11.0014,1,8,9
"2011-04-02 04:00:00",2,0,0,1,9.84,12.12,70,11.0014,0,5,5
"2011-04-02 05:00:00",2,0,0,2,9.84,12.12,75,11.0014,1,4,5
"2011-04-02 06:00:00",2,0,0,1,10.66,13.635,70,7.0015,5,7,12
"2011-04-02 07:00:00",2,0,0,2,10.66,13.635,70,7.0015,2,16,18
"2011-04-02 08:00:00",2,0,0,1,12.3,15.91,70,7.0015,10,45,55
"2011-04-02 09:00:00",2,0,0,2,13.94,17.425,66,7.0015,22,65,87
"2011-04-02 10:00:00",2,0,0,2,14.76,17.425,57,11.0014,41,113,154
"2011-04-02 11:00:00",2,0,0,2,16.4,20.455,47,11.0014,72,126,198
"2011-04-02 12:00:00",2,0,0,3,13.12,16.665,81,8.9981,84,100,184
"2011-04-02 13:00:00",2,0,0,1,13.94,16.665,81,8.9981,56,81,137
"2011-04-02 14:00:00",2,0,0,3,13.12,15.15,76,22.0028,97,93,190
"2011-04-02 15:00:00",2,0,0,3,13.94,15.15,76,26.0027,72,64,136
"2011-04-02 16:00:00",2,0,0,1,15.58,19.695,62,22.0028,111,85,196
"2011-04-02 17:00:00",2,0,0,1,15.58,19.695,54,23.9994,89,95,184
"2011-04-02 18:00:00",2,0,0,1,15.58,19.695,54,12.998,69,110,179
"2011-04-02 19:00:00",2,0,0,1,14.76,16.665,53,23.9994,71,77,148
"2011-04-02 20:00:00",2,0,0,1,13.94,15.91,53,19.0012,29,56,85
"2011-04-02 21:00:00",2,0,0,1,13.12,15.15,61,16.9979,24,53,77
"2011-04-02 22:00:00",2,0,0,1,13.12,15.15,61,19.9995,14,41,55
"2011-04-02 23:00:00",2,0,0,1,13.12,15.91,61,11.0014,20,33,53
"2011-04-03 00:00:00",2,0,0,1,12.3,14.395,65,12.998,8,31,39
